Date Time (EST), Gage Height (ft) from Continuous record, Gage Height (ft), Discharge (cfs) from Continuous record, Discharge (cfs)
\data
20060101  0:00,3.18,-9999,2.83,-9999
20060101  0:15,3.184,-9999,2.9,-9999
20060101  0:30,3.18,-9999,2.83,-9999
20060101  0:45,3.18,-9999,2.83,-9999
20060101  1:00,3.18,-9999,2.83,-9999
20060101  1:15,3.18,-9999,2.83,-9999
20060101  1:30,3.184,-9999,2.9,-9999
20060101  1:45,3.18,-9999,2.83,-9999
20060101  2:00,3.184,-9999,2.9,-9999
20060101  2:15,3.18,-9999,2.83,-9999
20060101  2:30,3.18,-9999,2.83,-9999
20060101  2:45,3.184,-9999,2.9,-9999
20060101  3:00,3.177,-9999,2.77,-9999
20060101  3:15,3.177,-9999,2.77,-9999
20060101  3:30,3.174,-9999,2.73,-9999
20060101  3:45,3.177,-9999,2.77,-9999
20060101  4:00,3.177,-9999,2.77,-9999
20060101  4:15,3.177,-9999,2.77,-9999
20060101  4:30,3.177,-9999,2.77,-9999
20060101  4:45,3.177,-9999,2.77,-9999
20060101  5:00,3.177,-9999,2.77,-9999
20060101  5:15,3.177,-9999,2.77,-9999
20060101  5:30,3.177,-9999,2.77,-9999
20060101  5:45,3.175,-9999,2.73,-9999
20060101  6:00,3.175,-9999,2.73,-9999
20060101  6:15,3.175,-9999,2.73,-9999
20060101  6:30,3.177,-9999,2.77,-9999
20060101  6:45,3.177,-9999,2.77,-9999
20060101  7:00,3.177,-9999,2.77,-9999
20060101  7:15,3.175,-9999,2.73,-9999
20060101  7:30,3.177,-9999,2.77,-9999
20060101  7:45,3.177,-9999,2.77,-9999
20060101  8:00,3.175,-9999,2.73,-9999
20060101  8:15,3.175,-9999,2.73,-9999
20060101  8:30,3.175,-9999,2.73,-9999
20060101  8:45,3.175,-9999,2.73,-9999
20060101  9:00,3.175,-9999,2.73,-9999
20060101  9:15,3.175,-9999,2.73,-9999
20060101  9:30,3.175,-9999,2.73,-9999
20060101  9:45,3.175,-9999,2.73,-9999
20060101 10:00,3.172,-9999,2.69,-9999
20060101 10:15,3.172,-9999,2.69,-9999
20060101 10:30,3.175,-9999,2.73,-9999
20060101 10:45,3.175,-9999,2.73,-9999
20060101 11:00,3.175,-9999,2.73,-9999
20060101 11:15,3.175,-9999,2.73,-9999
20060101 11:30,3.175,-9999,2.73,-9999
20060101 11:45,3.175,-9999,2.73,-9999
20060101 12:00,3.175,-9999,2.73,-9999
20060101 12:15,3.172,-9999,2.69,-9999
20060101 12:30,3.172,-9999,2.69,-9999
20060101 12:45,3.172,-9999,2.69,-9999
