
HYPNOS III
Hypnos#: 076
Filenumber: 140
Sample Time Interval: 005 Minutes
Redox: 36
Temperatures: 00
Started logging at 2012-10-03 16:03
Timestamp       ;R_00;R_01;R_02;R_03;R_04;R_05;R_06;R_07;R_08;R_09;R_10;R_11;R_12;R_13;R_14;R_15;R_16;R_17;R_18;R_19;R_20;R_21;R_22;R_23;R_24;R_25;R_26;R_27;R_28;R_29;R_30;R_31;R_32;R_33;R_34;R_35
2013-08-08 03:35; 453; 177;-319;-352;-428;-440;-364; 233; 500;-371;-442;-446;-450;-445;-459;-402; 493; 338;-401;-429;-445;-457;-467;-422;-340;-468; 485; 349; 433; 230;-294;-344;-394;-291; -18; 549
2013-08-08 03:40; 453; 176;-319;-352;-428;-440;-364; 233; 500;-371;-442;-446;-450;-444;-459;-402; 493; 339;-401;-429;-445;-457;-467;-422;-341;-468; 485; 349; 433; 230;-294;-344;-394;-291; -16; 549
2013-08-08 03:45; 453; 176;-319;-352;-428;-440;-364; 233; 500;-371;-442;-446;-450;-444;-459;-402; 493; 339;-400;-429;-445;-457;-467;-422;-340;-468; 485; 350; 433; 230;-295;-344;-393;-291; -15; 549
2013-08-08 03:50; 453; 177;-319;-352;-428;-440;-364; 233; 500;-371;-442;-446;-450;-444;-459;-401; 493; 339;-400;-429;-445;-457;-467;-422;-340;-468; 486; 350; 434; 230;-294;-344;-394;-291; -15; 549
2013-08-08 03:55; 454; 176;-319;-352;-427;-440;-364; 233; 500;-372;-442;-446;-450;-444;-459;-402; 493; 340;-400;-429;-445;-457;-467;-422;-340;-468; 486; 350; 433; 230;-295;-344;-394;-291; -14; 549
2013-08-08 04:00; 454; 176;-319;-352;-427;-440;-364; 233; 501;-372;-442;-446;-450;-444;-459;-402; 493; 339;-401;-429;-445;-457;-467;-422;-340;-468; 486; 350; 433; 230;-295;-344;-394;-291; -14; 549
2013-08-08 04:05; 454; 176;-319;-352;-427;-440;-364; 233; 501;-372;-442;-446;-450;-444;-459;-402; 493; 339;-401;-429;-445;-457;-467;-422;-340;-468; 486; 351; 434; 230;-296;-345;-394;-291; -14; 549
2013-08-08 04:10; 453; 177;-319;-352;-428;-440;-364; 233; 501;-372;-442;-447;-450;-445;-459;-402; 494; 339;-401;-429;-445;-457;-467;-422;-340;-469; 487; 350; 434; 230;-296;-345;-395;-291; -13; 551
2013-08-08 04:15; 453; 177;-319;-352;-428;-440;-364; 233; 501;-372;-442;-446;-450;-445;-459;-402; 493; 339;-401;-429;-445;-457;-467;-422;-340;-469; 487; 351; 434; 230;-296;-345;-394;-291; -13; 551
2013-08-08 04:20; 454; 176;-319;-352;-427;-440;-364; 233; 501;-372;-442;-446;-450;-444;-459;-402; 493; 339;-401;-430;-445;-457;-467;-422;-339;-469; 487; 351; 434; 230;-296;-345;-394;-291; -12; 551
